Column,Cidade,UF,Salario.Bruto,Horas.Diarias,Tempo.de.Empresa,Experiencia.Profissional,Iniciativa.Privada.ou.Concursado,Cargo,Formacao,Pos.Graduacao.ou.Certificacao,Regiao
78,Belo Horizonte,PB,3900,8,0.66,3,Concursado,Outros Analistas,Bacharel em Ciência da Computação,FALSE,Nordeste
79,Porto Alegre,RS,3900,8,0.5,6,Concursado,Outros Analistas,Bacharel em Sistemas de informação,TRUE,Sul
80,Belo Horizonte,MG,3700,8,1.91,4,Nao informou,Redes,Redes,TRUE,Sudeste
81,Juiz de Fora,MG,3665,8,6,6,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,TRUE,Sudeste
82,Brasilia,DF,3500,9,1,11,Iniciativa Privada,Redes,Bacharel em Sistemas de informação,FALSE,Centro-oeste
83,Campinas,SP,3500,8,1,6,Iniciativa Privada,outros,Bacharel em Ciência da Computação,FALSE,Sudeste
84,Curitiba,PR,3500,8,1,2,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,TRUE,Sul
85,Juazeiro,BA,3500,8,2,6,Iniciativa Privada,Consultor,Nao informou,TRUE,Nordeste
86,Salvador,BA,3500,8,1.58,7,Iniciativa Privada,Suporte,Redes,TRUE,Nordeste
87,Salvador,BA,3500,8.8,1,6,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,FALSE,Nordeste
88,São Paulo,SP,3500,8,0.5,0.5,Concursado,Analista de Sistemas,Engenharia da Computação,TRUE,Sudeste
89,Curitiba,PR,3300,8.48,0.58,3.5,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,TRUE,Sul
90,Seropédica,RJ,3300,8,0.08,5,Concursado,Outros Analistas,Bacharel em Ciência da Computação,FALSE,Sudeste
91,Campina Grande,PB,3293,8,0.58,0.58,Concursado,Analista de Sistemas,Bacharel em Ciência da Computação,FALSE,Nordeste
92,Curitiba,PR,3200,8,1,2,Iniciativa Privada,Outros Analistas,Engenharia da Computação,TRUE,Sul
93,Santos,SP,3200,8,7,8,Iniciativa Privada,Analista de Sistemas,Nao informou,FALSE,Sudeste
94,Joinville,SC,3100,8,5.5,7,Iniciativa Privada,Outros Analistas,Bacharel em Ciência da Computação,TRUE,Sul
95,Campinas,SP,3000,8,0.33,1,Iniciativa Privada,outros,Engenharia da Computação,FALSE,Sudeste
96,Campinas,SP,3000,8,2,10,Iniciativa Privada,outros,Graduação em Administração de empresas,FALSE,Sudeste
97,Porto Alegre,RS,3000,8,6,10,Iniciativa Privada,Desenvolvedor Web,Bacharel em Sistemas de informação,TRUE,Sul
98,Salvador,BA,3000,8,4,12,Iniciativa Privada,Redes,Nao informou,FALSE,Nordeste
99,São Paulo,SP,3000,8,0.16,2.5,Iniciativa Privada,Analista de Sistemas,Nao informou,FALSE,Sudeste
100,Campinas,SP,2940,8,4,5,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,TRUE,Sudeste
101,Belo Horizonte,MG,2900,8.4,7,4,Iniciativa Privada,Outros Analistas,Bacharel em Sistemas de informação,FALSE,Sudeste
102,Cuiabá,MT,2890,8,2.66,4,Concursado,Analista de Sistemas,Bacharel em Ciência da Computação,TRUE,Centro-oeste
103,Belo Horizonte,MG,2800,8,0.5,3,Iniciativa Privada,Outros Analistas,Bacharel em Ciência da Computação,FALSE,Sudeste
104,Fortaleza,CE,2800,8,1.16,4,Nao informou,Analista de Sistemas,Nao informou,TRUE,Nordeste
105,Rio de Janeiro,RJ,2800,8,4,4,Iniciativa Privada,Analista de Sistemas,Nao informou,FALSE,Sudeste
106,Belo Horizonte,MG,2763,8,0.16,4,Iniciativa Privada,Outros Analistas,Bacharel em Sistemas de informação,FALSE,Sudeste
107,Belo Horizonte,MG,2750,8.8,5,4,Iniciativa Privada,Desenvolvedor Web,Bacharel em Sistemas de informação,FALSE,Sudeste
108,Uberlândia,MG,2735,8,2,3,Iniciativa Privada,Consultor,Nao informou,FALSE,Sudeste
109,Rio de Janeiro,RJ,2650,8,2,3,Iniciativa Privada,Analista de Sistemas,Bacharel em Ciência da Computação,FALSE,Sudeste
110,Belo Horizonte,MG,2508,8,0.08,4,Iniciativa Privada,Desenvolvedor Java,Bacharel em Sistemas de informação,TRUE,Sudeste
111,Belo Horizonte,MG,2500,8,2,2,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,TRUE,Sudeste
112,Belo Horizonte,MG,2500,8,2,2,Iniciativa Privada,Desenvolvedor Java,Bacharel em Sistemas de informação,FALSE,Sudeste
113,Belo Horizonte,MG,2500,8,2,2,Iniciativa Privada,Desenvolvedor Web,Bacharel em Ciência da Computação,FALSE,Sudeste
114,Belo Horizonte,MG,2500,8,0.08,3,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,FALSE,Sudeste
115,Campinas,SP,2500,8,2,2,Iniciativa Privada,outros,Bacharel em Ciência da Computação,FALSE,Sudeste
