id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT;evangelico
178884;HildoRocha;Hildo Rocha;pmdb;MA;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;não;sim;não;sim;SIM;nao
178849;HissaAbrahao;Hissa Abrahão;pps;AM;sim;sim;sim;não votou;não;não;não;não;sim;não;sim;sim;sim;não votou;não;não;sim;sim;não;SIM;nao
141450;HugoLeal;Hugo Leal;pros;RJ;sim;não votou;sim;sim;não;não;sim;sim;sim;sim;não votou;sim;sim;sim;sim;não votou;não votou;não votou;não votou;SIM;nao
160674;HugoMotta;Hugo Motta;pmdb;PB;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;não votou;sim;sim;não;não votou;sim;SIM;nao
141389;IndiodaCosta;Indio da Costa;psd;RJ;não votou;sim;sim;sim;sim;sim;sim;sim;não votou;não;sim;sim;abstenção;não votou;sim;não;sim;sim;não;SIM;nao
67138;IracemaPortella;Iracema Portella;pp;PI;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;SIM;nao
81232;IrajaAbreu;Irajá Abreu;psd;TO;sim;não votou;não votou;sim;sim;sim;não votou;não votou;sim;não votou;sim;não votou;sim;sim;sim;não votou;não votou;sim;não votou;NAO;nao
178855;IrmaoLazaro;Irmão Lazaro;psc;BA;não votou;não votou;sim;sim;não votou;sim;não;sim;sim;não;sim;sim;sim;não;não;não;sim;sim;sim;SIM;sim
73531;IvanValente;Ivan Valente;psol;SP;não;não;não;não;não;obstção;obstção;não;não;não;não;sim;sim;não;não;sim;não;sim;não;NAO;nao
4931;Izalci;Izalci;psdb;DF;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;não;não;sim;não;sim;não;SIM;nao
74665;JaimeMartins;Jaime Martins;psd;MG;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;não votou;sim;SIM;nao
74847;JairBolsonaro;Jair Bolsonaro;pp;RJ;não;sim;não;sim;sim;sim;sim;sim;não votou;sim;sim;sim;não;não;não;sim;não;sim;sim;SIM;nao
74848;JandiraFeghali;Jandira Feghali;pcdob;RJ;não;não;sim;não;não;não;não;não;não;sim;não;sim;sim;sim;sim;não;não;sim;não;NAO;nao
73926;JaneteCapiberibe;Janete Capiberibe;psb;AP;não;não votou;não votou;não votou;não;não;7 não;não;não;não;não votou;sim;sim;não votou;não votou;sim;não;sim;sim;NAO;nao
131943;JarbasVasconcelos;Jarbas Vasconcelos;pmdb;PE;não;sim;não votou;sim;não;não;sim;sim;sim;não;sim;sim;não;não;não;sim;sim;sim;não;SIM;nao
160672;JeanWyllys;Jean Wyllys;psol;RJ;não;não;não;não;não;obstção;obstção;não;não;não;não;sim;sim;não;não;sim;não;sim;não;NAO;nao
74273;JeffersonCampos;Jefferson Campos;psd;SP;sim;não votou;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;abstenção;não;não;sim;não;sim;sim;SIM;sim
160570;JeronimoGoergen;Jerônimo Goergen;pp;RS;sim;não;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;não;não votou;não votou;sim;não votou;SIM;nao
178839;JessicaSales;Jéssica Sales;pmdb;AC;sim;não votou;não votou;sim;sim;sim;não votou;não votou;não votou;não votou;sim;não votou;não votou;sim;sim;sim;não;não votou;sim;SIM;nao
178842;JHC;JHC;solidaried;AL;não votou;sim;sim;sim;não;sim;não;não;não votou;não;sim;sim;sim;não;não;não;sim;sim;sim;SIM;nao
178842;JHC;JHC;psb;AL;não;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;SIM;nao
160531;JhonatandeJesus;Jhonatan de Jesus;prb;RR;não;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;não votou;não votou;não;não;não;não votou;sim;SIM;nao
160573;JoaoArruda;João Arruda;pmdb;PR;não;não votou;sim;não;não;não;sim;não;não;sim;sim;sim;não;não votou;não;sim;sim;sim;não;SIM;nao
74366;JoaoCampos;João Campos;psdb;GO;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;abstenção;não;não;sim;sim;sim;não;SIM;nao
141458;JoaoCarlosBacelar;João Carlos Bacelar;pr;BA;sim;não votou;não votou;não votou;sim;não votou;7 sim;sim;não;não;sim;sim;não;sim;sim;sim;não;sim;não votou;NAO;nao
74445;JoaoCastelo;João Castelo;psdb;MA;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;não;sim;não;SIM;nao
178970;JoaoDaniel;João Daniel;pt;SE;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO;nao
178965;JoaoDerly;João Derly;rede;RS;não;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;SIM;nao
178965;JoaoDerly;João Derly;pcdob;RS;não votou;não;sim;não votou;não;não;não;não;não;sim;não;sim;sim;sim;não;não;não;sim;não votou;SIM;nao
178917;JoaoFernandoCoutinho;João Fernando Coutinho;psb;PE;não;sim;não;abstção;não;não;sim;não;sim;não;não;sim;sim;sim;não;sim;não;sim;sim;SIM;nao
178856;JoaoGualberto;João Gualberto;psdb;BA;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;não votou;abstenção;não;não;sim;não;sim;sim;SIM;nao
112437;JoaoMarceloSouza;João Marcelo Souza;pmdb;MA;sim;sim;sim;abstção;não;não;sim;sim;sim;sim;sim;sim;não votou;sim;sim;não votou;não votou;não votou;não votou;NAO;nao
178988;JoaoPauloPapa;João Paulo Papa;psdb;SP;sim;sim;sim;sim;não;sim;sim;sim;sim;não;não votou;sim;sim;não;não;não;não;sim;não;SIM;nao
160571;JoaoRodrigues;João Rodrigues;psd;SC;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;não;sim;não;SIM;nao
178910;JoaquimPassarinho;Joaquim Passarinho;psd;PA;não votou;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;sim;sim;não;sim;não;SIM;nao
141503;JoMoraes;Jô Moraes;pcdob;MG;não;não votou;sim;não;não;não;não;não;não;sim;não;sim;não votou;sim;sim;não;não;não votou;não;NAO;nao
178971;JonyMarcos;Jony Marcos;prb;SE;sim;não votou;não votou;não;sim;sim;sim;não;não;não;não;sim;sim;sim;sim;não;sim;sim;não;SIM;nao
74388;JorgeBoeira;Jorge Boeira;pp;SC;não votou;não votou;não votou;não votou;sim;sim;7 não;não;não;não;sim;sim;não votou;não;não;não;sim;não votou;não;SIM;nao
